aacA4>/>emrE	aacA4|emrE
Acetyltransf_1>/>AhpC-TSA	Acetyltransf_1|AhpC-TSA
APH_6_hur>/>dhfrI	APH_6_hur|dhfrI
bgaB>>beta-galIII	bgaB/beta-galIII
bglB>/>HYP	bglB|HYP
btuB</>malL	btuB|malL
cdhR>/>eae	cdhR|eae
Cupin_2>/<traC	Cupin_2|traC
DDE_Tnp_1</>L	DDE_Tnp_1|L
DDE_Tnp_1</>lipB	DDE_Tnp_1|lipB
DDE_Tnp_1>/>S	DDE_Tnp_1|S
DEDD_Tnp_IS110</>bdhA	DEDD_Tnp_IS110|bdhA
DNA_alkylation>/>pflB	DNA_alkylation|pflB
DUF1706>/<N	DUF1706|N
DUF2154>/>groS	DUF2154|groS
DUF2251>/<HYP	DUF2251|HYP
DUF2510</>HYP	DUF2510|HYP
DUF2992>/<ogt	DUF2992|ogt
DUF3472>/>OrfB_IS605	DUF3472|OrfB_IS605
DUF397<>sugB	DUF397/sugB
DUF772>/<rpmG	DUF772|rpmG
DUF820>/<R	DUF820|R
G6PD_bact<>HYP	G6PD_bact/HYP
gpgP>/>HYP	gpgP|HYP
Gram_pos_anchor>>Tnp_150	Gram_pos_anchor/Tnp_150
guaA>>Tnp_66	guaA/Tnp_66
HAD</>HYP	HAD|HYP
hcnC>>HYP	hcnC/HYP
HTH_17>/<I	HTH_17|I
HYP>/<alsS	HYP|alsS
HYP>/<cpxP	HYP|cpxP
HYP>/<degA	HYP|degA
HYP>>dnaC	HYP/dnaC
HYP>>glpR	HYP/glpR
HYP>/>group-II-D1D4-3	HYP|group-II-D1D4-3
HYP>/>HTH_3	HYP|HTH_3
HYP>>PAPS_reduct	HYP/PAPS_reduct
HYP>/<rpsA	HYP|rpsA
HYP<>scpB	HYP/scpB
HYP>/>Sdh_cyt	HYP|Sdh_cyt
HYP</>Tnp_66	HYP|Tnp_66
HYP>/<yheS	HYP|yheS
I>/>PhageIntegrase	I|PhageIntegrase
KfrA_N>>HYP	KfrA_N/HYP
LemA>>HYP	LemA/HYP
Leucine_Rich_repeats_(2_copies)>/>inlA	Leucine_Rich_repeats|inlA
Lsr2</>MDMPI_N	Lsr2|MDMPI_N
Macro>/>PhageIntegrase	Macro|PhageIntegrase
malG>>FtsX	malG/FtsX
manC1>/>DUF772	manC1|DUF772
merR</>smc	merR|smc
MFS_1>/<Tnp_1	MFS_1|Tnp_1
Molybdopterin>>fdhF	Molybdopterin/fdhF
N6_Mtase>>Methylase_S	N6_Mtase/Methylase_S
Na_Pi_cotrans>/>LANC_like	Na_Pi_cotrans|LANC_like
OrfB_IS605><tal	OrfB_IS605/tal
OrfB_IS605>/<UPF0066	OrfB_IS605|UPF0066
Patatin>/>HYP	Patatin|HYP
pepC><yclM	pepC/yclM
ppiD>/>rpsP	ppiD|rpsP
proA>>HYP	proA/HYP
pseI>/>cah	pseI|cah
pyrG>/>group-II-D1D4-3	pyrG|group-II-D1D4-3
Recombinase_Resolvase>/>sigE	Recombinase_Resolvase|sigE
Relaxase>>HYP	Relaxase/HYP
resA>/>Acetyltransf_1	resA|Acetyltransf_1
sarA>>amiA	sarA/amiA
sdaA>>sdaB	sdaA/sdaB
Thiolase_N>>thlA	Thiolase_N/thlA
Tnp_110>/<tcyP	Tnp_110|tcyP
Tnp_150_2>/<pyrDA	Tnp_150_2|pyrDA
Tnp_21_1</>Tnp_427	Tnp_21_1|Tnp_427
Tnp_4>/>hfq	Tnp_4|hfq
