aacA4>/>emrE	aacA4|emrE
Tnp_4</>skfE	Tnp_4|skfE
Tnp_982o</>bglH	Tnp_982o|bglH
TonB_dep_Rec>/<pilE	TonB_dep_Rec|pilE
TrbC>/<mnmA	TrbC|mnmA
TrbI>>HYP	TrbI/HYP
trg>>tsr	trg/tsr
trxB>/>rnmV	trxB|rnmV
0/>HYP	HYP
0/>pepX	pepX
0/>Tnp_66	Tnp_66
16S_ribosomal_RNA</>agp	16S_ribosomal_RNA|agp
23S_ribosomal_RNA>/>HYP	23S_ribosomal_RNA|HYP
23S_ribosomal_RNA>/>mscS	23S_ribosomal_RNA|mscS
23S_ribosomal_RNA>/>N	23S_ribosomal_RNA|N
3-dmu-9_3-mt</>HTH_11	3-dmu-9_3-mt|HTH_11
6S,HYP>/<HYP	6S
6S>>rbsK	6S/rbsK
AAA_4>/>HYP	AAA_4|HYP
AAA_PrkA</>mipA	AAA_PrkA|mipA
ABC2_membrane_4>/<HYP	ABC2_membrane_4|HYP
ABC_membrane>>ABC_tran	ABC_membrane/ABC_tran
ABC_membrane>/<DUF1814	ABC_membrane|DUF1814
ABC_tran_2<>HYP	ABC_tran_2/HYP
ABC_tran>/<E	ABC_tran|E
ABC_tran><HYP	ABC_tran/HYP
Abhydrolase_6>/<HYP	Abhydrolase_6|HYP
Abi>/>gabD	Abi|gabD
ABM</>HYP	ABM|HYP
Acetyltransf_1>/>HYP	Acetyltransf_1|HYP
acsA>/>HYP	acsA|HYP
Acyl_transf_3>/>yedA,SraC_RyeA</>Tnp_256	SraC_RyeA|Tnp_256
adhB>/<ycdT	adhB|ycdT
adhE>/>ybaK	adhE|ybaK
ADH_N>/>lipF	ADH_N|lipF
adh_short>/>pbuG	adh_short|pbuG
AFG1_ATPase>/>glcB	AFG1_ATPase|glcB
AhpC-TSA>/>MarR_2	AhpC-TSA|MarR_2
A><HYP	A/HYP
A>>HYP	A/HYP
A>/>HYP	A|HYP
alaA>/<pdaA	alaA|pdaA
Aldo_ket_red>/>Pentapeptide	Aldo_ket_red|Pentapeptide
Aldo_ket_red>/>uvrA	Aldo_ket_red|uvrA
ALIL>/>HYP	ALIL|HYP
alsT>/<thiD	alsT|thiD
alyA</>slyA	alyA|slyA
Aminotran_1_2>/<uraA	Aminotran_1_2|uraA
AntA>>HYP	AntA/HYP
APH_6_hur>/<HYP	APH_6_hur|HYP
APH>/>Resolvase	APH|Resolvase
appA>>rsbP	appA/rsbP
A>/<proY	A|proY
Archaeal_ATPase>>HYP	Archaeal_ATPase/HYP
Arch_ATPase>/>HYP	Arch_ATPase|HYP
Arch_ATPase</>L20_leader	Arch_ATPase|L20_leader
argH1>/>mnmA	argH1|mnmA
arlS>/<proX	arlS|proX
aroA>/>loiP	aroA|loiP
aroP>/<hemN	aroP|hemN
asnS>/>ompF	asnS|ompF
astC>>TetR_N	astC/TetR_N
atpC>/>ndhC	atpC|ndhC
A>>V	A/V
azoB>/<nodD2	azoB|nodD2
Bac_luciferase>>ssuD	Bac_luciferase/ssuD
Bacteriocin_IIc>/>lagD	Bacteriocin_IIc|lagD
baeS>/<mnmE	baeS|mnmE
bamHIM>/>mboIIM	bamHIM|mboIIM
B>/>DUF3644	B|DUF3644
benM>/<catD	benM|catD
betA>/>HYP	betA|HYP
bluB>/>fabG	bluB|fabG
bmrR>/>DUF488	bmrR|DUF488
BNR>/>Abhydrolase_5	BNR|Abhydrolase_5
B>>PhageIntegrase	B/PhageIntegrase
B><Recombinase_Resolvase	B/Recombinase_Resolvase
btuB</>trmA	btuB|trmA
btuR>/>ydjZ	btuR|ydjZ
bvgS>>torS	bvgS/torS
C4dic_mal_tran>/<serS	C4dic_mal_tran|serS
can>/>HYP	can|HYP
Cation_ATPase_N>>E1-E2_ATPase	Cation_ATPase_N/E1-E2_ATPase
Cation_ATPase_N>/<HYP	Cation_ATPase_N|HYP
Caudo_TAP>>IS009	Caudo_TAP/IS009
Caudo_TAP>>Macro	Caudo_TAP/Macro
cbl>/>Tnp_407_2	cbl|Tnp_407_2
cdhR>/<rnk	cdhR|rnk
ceo>/>Xer	ceo|Xer
CHAP>/>DUF961	CHAP|DUF961
C><HYP	C/HYP
clpS</>cspD	clpS|cspD
Collagen><HYP	Collagen/HYP
comM>>DNA_processg_A	comM/DNA_processg_A
comM>/>RecA	comM|RecA
Competence_A</>mrcA	Competence_A|mrcA
corA>/<sigI	corA|sigI
corA</>uvrA	corA|uvrA
cpxP>/>fieF	cpxP|fieF
csn2>/>lepA	csn2|lepA
cspA>/<dnaE2	cspA|dnaE2
cspA>/>Tnp_150	cspA|Tnp_150
cstA</>dapF	cstA|dapF
csy1>>csy2	csy1/csy2
ctpB>/<nagA	ctpB|nagA
ctpH>/<cysA	ctpH|cysA
ctpH>/<parC	ctpH|parC
CTP_transf_1>/<T	CTP_transf_1|T
Cu_amine_oxidN1>/>K	Cu_amine_oxidN1|K
Cupin_2</>Pyridox_oxidase	Cupin_2|Pyridox_oxidase
cyaA</>hemC	cyaA|hemC
cya>/<rfbB	cya|rfbB
CyaR_RyeE,Tail_P2_I>>Phage_GPD,Phage_GPD	CyaR_RyeE
cydX>/<pctC	cydX|pctC
cysK1>/>yqjA	cysK1|yqjA
CYTH</>yjbM	CYTH|yjbM
dacC</>gstB	dacC|gstB
dacD>>Recombinase_Resolvase	dacD/Recombinase_Resolvase
dagK>/>ybhL	dagK|ybhL
dapA</>gcvR	dapA|gcvR
dapL>/<rhlE	dapL|rhlE
DDE_Tnp_1>/<DUF1516	DDE_Tnp_1|DUF1516
DDE_Tnp_1>/<S	DDE_Tnp_1|S
degA>/>gtfA	degA|gtfA
DegV>/>rihA	DegV|rihA
DegV</>rpsA	DegV|rpsA
deoD>/>HYP	deoD|HYP
dgt>/<eda	dgt|eda
DicF>>DUF1482	DicF/DUF1482
dinB</>haeIIIM	dinB|haeIIIM
dinB>/>YolD	dinB|YolD
dinI<>proP	dinI/proP
dmlR>/<pip	dmlR|pip
DNA_alkylation>/<HYP	DNA_alkylation|HYP
dnaC>>DnaB	dnaC/DnaB
dnaG,dnaG	dnaG
dnaG>/>parD1	dnaG|parD1
DNAJ_related</>ttcA	DNAJ_related|ttcA
DNA_processg_A>/>topA	DNA_processg_A|topA
DNA_processg_A>>TrmB	DNA_processg_A/TrmB
dns>>endA	dns/endA
doc>/>hsdR	doc|hsdR
drug_efflux_system_protein_MdtG>>ymfD	drug_efflux_system_protein_MdtG/ymfD
DUF1008</>HYP	DUF1008|HYP
DUF1062</>TetR_N	DUF1062|TetR_N
DUF1237</>Glyco_hydro_92	DUF1237|Glyco_hydro_92
DUF1266>/<K	DUF1266|K
DUF1275</>lutA	DUF1275|lutA
DUF1292>/<HTH_19	DUF1292|HTH_19
DUF1294</>ttcA	DUF1294|ttcA
DUF1311>/>OmpA,HYP	DUF1311|OmpA
DUF1565>/<HYP	DUF1565|HYP
DUF1646>/>yhdG	DUF1646|yhdG
DUF1697>/>T4SS-DNA_transf	DUF1697|T4SS-DNA_transf
DUF1778</>phoC,F	F
DUF177</>DUF795	DUF177|DUF795
DUF1814<>HYP	DUF1814/HYP
DUF1963>/<ytcD	DUF1963|ytcD
DUF1994</>UPF0016	DUF1994|UPF0016
DUF2077>/>Tnp_21_1	DUF2077|Tnp_21_1
DUF2179>/<EAL	DUF2179|EAL
DUF222>>HYP	DUF222/HYP
DUF2321</>HYP	DUF2321|HYP
DUF2345</>ccpA	DUF2345|ccpA
DUF2466>>HYP	DUF2466/HYP
DUF2466>/<rex	DUF2466|rex
DUF2466>/<TauE	DUF2466|TauE
DUF2478>/>rlmB	DUF2478|rlmB
DUF2493>>ssb	DUF2493/ssb
DUF2924>/>HYP	DUF2924|HYP
DUF2947>/>GFA	DUF2947|GFA
DUF2958>/>spo0C	DUF2958|spo0C
DUF2993</>Ferrochelatase	DUF2993|Ferrochelatase
DUF3021>/>ABC_tran	DUF3021|ABC_tran
DUF305>/>sX8	DUF305|sX8
DUF3330>/<TniQ	DUF3330|TniQ
DUF3408<>HYP	DUF3408/HYP
DUF3579>/<rpsT	DUF3579|rpsT
DUF368</>polA	DUF368|polA
DUF368</>Pyr_redox_2	DUF368|Pyr_redox_2
DUF3737>>HYP	DUF3737/HYP
DUF3832>/>ycjS	DUF3832|ycjS
DUF3836>/<trpB	DUF3836|trpB
DUF387>>rluB	DUF387/rluB
DUF457</>yfhQ	DUF457|yfhQ
DUF45<>hsdM	DUF45/hsdM
DUF58>/<mepM	DUF58|mepM
DUF606>/<chbP	DUF606|chbP
DUF669>>HYP	DUF669/HYP
DUF72<>HYP	DUF72/HYP
DUF72>>HYP	DUF72/HYP
DUF72<>nudB	DUF72/nudB
DUF748>/>AAA	DUF748|AAA
DUF74</>ybjP	DUF74|ybjP
DUF770</>yraA	DUF770|yraA
DUF900</>Tnp_21	DUF900|Tnp_21
DUF915>/<mtlD	DUF915|mtlD
DUF920>/>kpsM	DUF920|kpsM
DUF951>/>ychF	DUF951|ychF
DZR</>HYP	DZR|HYP
EamA>>HYP	EamA/HYP
eccCa1>>eccCb1	eccCa1/eccCb1
ecfA2</>rsmC	ecfA2|rsmC
echA8>/<selB	echA8|selB
E><HYP	E/HYP
E>>HYP	E/HYP
Endonuclease_NS>>nucA	Endonuclease_NS/nucA
engB>/>Trp_repressor	engB|Trp_repressor
Enhancin>/<yjdC	Enhancin|yjdC
eno>>HYP	eno/HYP
Epimerase>/<hisP	Epimerase|hisP
Epimerase><rng	Epimerase/rng
exbD>/>DUF2884	exbD|DUF2884
Exo_endo_phos>/>C	Exo_endo_phos|C
Exo_endo_phos>/>DUF347	Exo_endo_phos|DUF347
fabG><ychF	fabG/ychF
F>/>cbs	F|cbs
fdh>>HYP	fdh/HYP
feaB>/>LCM	feaB|LCM
F,epsM>/>cpsD	F
Fer4>>cooF	Fer4/cooF
fgs>/>HYP	fgs|HYP
fimA>/>HYP	fimA|HYP
fimA<>nanM	fimA/nanM
fimD<>htrE	fimD/htrE
flaD>/>flaC	flaD|flaC
Flag1_repress>/<Z	Flag1_repress|Z
flhA<>lafU	flhA/lafU
fliF<>uvrY	fliF/uvrY
F>>N	F/N
fnr>/>uspE	fnr|uspE
fprA>/>HYP	fprA|HYP
F,Procyclic_acidic_repetitive_protein_(PARP)	F
F><Tnp_407	F/Tnp_407
F>/>Toxin_15	F|Toxin_15
F>/<UvrD-helicase	F|UvrD-helicase
fyuA>/>exbB	fyuA|exbB
gabD</>shlB	gabD|shlB
gabP>/<phnN	gabP|phnN
galE>/>HYP	galE|HYP
garB>>merA	garB/merA
gatA>/<selB	gatA|selB
gbpR</>ywrD	gbpR|ywrD
gcvT>/>thrS	gcvT|thrS
G>/>dmlR	G|dmlR
GFO_IDH_MocA</>HYP	GFO_IDH_MocA|HYP
G>>HYP	G/HYP
G>/<HYP	G|HYP
G>/>HYP	G|HYP
GIDA</>IstB_IS21	GIDA|IstB_IS21
glcK>/>pyrK	glcK|pyrK
glmM>/>TniB	glmM|TniB
glmS>/>fimA	glmS|fimA
glmS>/>FtsX	glmS|FtsX
glmS>/<lpd3	glmS|lpd3
glnA>>HYP	glnA/HYP
glnG<>yicJ	glnG/yicJ
gltA>>gltB	gltA/gltB
Glyco_hydro_18</>HYP	Glyco_hydro_18|HYP
Glycos_transf_2</>coq7	Glycos_transf_2|coq7
Glyoxalase_2>>DUF2442	Glyoxalase_2/DUF2442
gmk</>uspE	gmk|uspE
gmr>/>Fic	gmr|Fic
Gp49><T	Gp49/T
G,PhageIntegrase</>dkgA	G
G><PhageIntegrase	G/PhageIntegrase
groL5>/<maeA	groL5|maeA
group-II-D1D4-3>/>GIIM	group-II-D1D4-3|GIIM
gshAB>/>HYP	gshAB|HYP
gshB>/>comM	gshB|comM
gshB>/>DUF179	gshB|DUF179
GSPII_E</>Tnp_21	GSPII_E|Tnp_21
GSPII_F>/>TadE	GSPII_F|TadE
G>>sX8	G/sX8
guaA>>HYP	guaA/HYP
guaA>/>PhageIntegrase	guaA|PhageIntegrase
guaA>>rli38	guaA/rli38
gyrB>/>ResIII	gyrB|ResIII
hbpA>/>mnmE	hbpA|mnmE
HEPN_domain_protein<>HTH_3	HEPN_domain_protein/HTH_3
hfq</>mazG	hfq|mazG
HHH_2>>DUF2466	HHH_2/DUF2466
HhH-GPD>>3-methyl-adenine_DNA_glycosylase_II	HhH-GPD/3-methyl-adenine_DNA_glycosylase_II
H>/<HYP	H|HYP
hipA>/>fimD	hipA|fimD
His_Phos_1>/>metE	His_Phos_1|metE
HMA>/>leuS	HMA|leuS
H>>P	H/P
hpmA>>fhaB	hpmA/fhaB
HPnc0260><V	HPnc0260/V
HP_OMP_2>/>htpG	HP_OMP_2|htpG
HsdM_N>>hsdM	HsdM_N/hsdM
hsdS><hsdS	hsdS/hsdS
hsdS>>Methylase_S	hsdS/Methylase_S
hsrA>>Relaxase	hsrA/Relaxase
HTH_16>/>HYP	HTH_16|HYP
HTH_17</>HYP	HTH_17|HYP
HTH_17>/>HYP	HTH_17|HYP
HTH_17</>spo0C	HTH_17|spo0C
HTH_19>/>Tnp_21_1	HTH_19|Tnp_21_1
HTH_20>/>luxS	HTH_20|luxS
HTH_20</>Resolvase	HTH_20|Resolvase
HTH_3</>HYP	HTH_3|HYP
HTH_3><M	HTH_3/M
HTH_3</>PhageIntegrase	HTH_3|PhageIntegrase
HTH_3>/<Tnp_Y2_Tnp	HTH_3|Tnp_Y2_Tnp
hutI</>ybhC	hutI|ybhC
HYP>/0	HYP
HYP>>ABC2_membrane	HYP/ABC2_membrane
HYP>/>actP	HYP|actP
HYP</>albE	HYP|albE
HYP>>Amidohydro_2	HYP/Amidohydro_2
HYP>/<anaerobic_benzoate_catabolism_transcriptional_regulator	HYP|anaerobic_benzoate_catabolism_transcriptional_regulator
HYP>/<argF	HYP|argF
HYP><argH1	HYP/argH1
HYP>/<artM	HYP|artM
HYP</>barA	HYP|barA
HYP>>Baseplate_J	HYP/Baseplate_J
HYP</>bjaI	HYP|bjaI
HYP>/<bmr3	HYP|bmr3
HYP>>Bro-N	HYP/Bro-N
HYP>/>ccpA	HYP|ccpA
HYP>/>cggR	HYP|cggR
HYP>/<clpP	HYP|clpP
HYP</>comM	HYP|comM
HYP>/<crcB	HYP|crcB
HYP>/>cspA	HYP|cspA
HYP>/>Cupin_2	HYP|Cupin_2
HYP>>cycA	HYP/cycA
HYP</>cysM	HYP|cysM
HYP>/>czcO	HYP|czcO
HYP>/<dapL	HYP|dapL
HYP>>DDE_Tnp_1	HYP/DDE_Tnp_1
HYP><dinB	HYP/dinB
HYP>/>dinB	HYP|dinB
HYP><dnaN	HYP/dnaN
HYP>/>DUF124	HYP|DUF124
HYP>>DUF1805	HYP/DUF1805
HYP>>DUF2442	HYP/DUF2442
HYP>>DUF2466	HYP/DUF2466
HYP>/>DUF2812	HYP|DUF2812
HYP>/>DUF881	HYP|DUF881
HYP<>dus	HYP/dus
HYP>>dus	HYP/dus
HYP</>egtE	HYP|egtE
HYP>/>esxA	HYP|esxA
HYP</>exsA	HYP|exsA
HYP>/>fbp	HYP|fbp
HYP>>fitB	HYP/fitB
HYP>/<fldZ	HYP|fldZ
HYP>/<galM	HYP|galM
HYP>/>garK	HYP|garK
HYP>>GGDEF	HYP/GGDEF
HYP>>Glyco_transf_11	HYP/Glyco_transf_11
HYP</>greB	HYP|greB
HYP><groL	HYP/groL
HYP>/>groS	HYP|groS
HYP>>GSPII_E	HYP/GSPII_E
HYP>/>hcaT	HYP|hcaT
HYP>/>hcpC	HYP|hcpC
HYP>/>Helicase_C	HYP|Helicase_C
HYP>>HhH-GPD	HYP/HhH-GPD
HYP><hpaIIM,ydiP	ydiP
HYP>>hpdA	HYP/hpdA
HYP>>hsdR	HYP/hsdR
HYP>/>HTH_11	HYP|HTH_11
HYP>/<HYP,6S	6S
HYP,HYP	HYP
HYP<>HYP	HYP/HYP
HYP</>HYP	HYP|HYP
HYP><HYP	HYP/HYP
HYP>/<HYP	HYP|HYP
HYP>/<HYP,R	R
HYP><I	HYP/I
HYP>>I	HYP/I
HYP</>invasion_protein_regulator	HYP|invasion_protein_regulator
HYP>/<iolG	HYP|iolG
HYP>/<Iron_traffic	HYP|Iron_traffic
HYP>/>iscA	HYP|iscA
HYP><K	HYP/K
HYP>/<K	HYP|K
HYP,K	K
HYP><Lactamase_B_2	HYP/Lactamase_B_2
HYP>/>Lactate_perm	HYP|Lactate_perm
HYP><L	HYP/L
HYP>>L	HYP/L
HYP>/<L	HYP|L
HYP</>licC	HYP|licC
HYP>/<mcp4	HYP|mcp4
HYP>/<MFS_1	HYP|MFS_1
HYP>/>MG2_domain_protein	HYP|MG2_domain_protein
HYP><M	HYP/M
HYP>>miaB	HYP/miaB
HYP>/<miaB	HYP|miaB
HYP</>mreB	HYP|mreB
HYP>>mshD	HYP/mshD
HYP</>mutS2	HYP|mutS2
HYP>>N6_Mtase	HYP/N6_Mtase
HYP>/>NERD	HYP|NERD
HYP><N	HYP/N
HYP>/<N	HYP|N
HYP>/<NifT	HYP|NifT
HYP</>NMT1	HYP|NMT1
HYP>>NMT1	HYP/NMT1
HYP>>Nop	HYP/Nop
HYP>/<NUDIX	HYP|NUDIX
HYP>/<ogt	HYP|ogt
HYP>/>oppA	HYP|oppA
HYP</>PDDEXK_2	HYP|PDDEXK_2
HYP</>pdtaR	HYP|pdtaR
HYP</>pepDA	HYP|pepDA
HYP>/>Peptidase_M10	HYP|Peptidase_M10
HYP</>Peptidase_M16_C	HYP|Peptidase_M16_C
HYP>>Peptidase_M28	HYP/Peptidase_M28
HYP</>Peptidase_M4_C	HYP|Peptidase_M4_C
HYP>/>pgl	HYP|pgl
HYP>>Phage_AlpA	HYP/Phage_AlpA
HYP</>PhageIntegrase	HYP|PhageIntegrase
HYP><PhageIntegrase	HYP/PhageIntegrase
HYP>>PhageIntegrase	HYP/PhageIntegrase
HYP>/<PhageIntegrase	HYP|PhageIntegrase
HYP>/>PhageIntegrase	HYP|PhageIntegrase
HYP>/<PhageIntegrase,rplL	rplL
HYP><phoP	HYP/phoP
HYP><P	HYP/P
HYP>/<P	HYP|P
HYP>>Pirin	HYP/Pirin
HYP<>Plug	HYP/Plug
HYP</>polS,mnmE	mnmE
HYP>/<ppnK	HYP|ppnK
HYP>/>proB	HYP|proB
HYP>>proP	HYP/proP
HYP>/<ptrA	HYP|ptrA
HYP>/<purM	HYP|purM
HYP</>Pyridox_ox_2	HYP|Pyridox_ox_2
HYP>>rapA	HYP/rapA
HYP<>rbgA	HYP/rbgA
HYP</>recD2	HYP|recD2
HYP>/>Recombinase	HYP|Recombinase
HYP>>Recombinase_Resolvase	HYP/Recombinase_Resolvase
HYP>/>Recombinase_Resolvase	HYP|Recombinase_Resolvase
HYP><R	HYP/R
HYP>/<R	HYP|R
HYP>/>Ribonuclease	HYP|Ribonuclease
HYP<>rimO	HYP/rimO
HYP>>RNB	HYP/RNB
HYP>/<rplS	HYP|rplS
HYP><rpsD	HYP/rpsD
HYP>/<rpsI	HYP|rpsI
HYP>/>rpsP	HYP|rpsP
HYP>/>rve	HYP|rve
HYP><RybB	HYP/RybB
HYP>/<serS	HYP|serS
HYP><S	HYP/S
HYP>/<S	HYP|S
HYP>/>smc	HYP|smc
HYP>/>SNF2_assoc	HYP|SNF2_assoc
HYP>/<sodN	HYP|sodN
HYP</>speD	HYP|speD
HYP>>ssb	HYP/ssb
HYP>>TauE	HYP/TauE
HYP>/>T-box	HYP|T-box
HYP>/<TetR_N	HYP|TetR_N
HYP>/>T	HYP|T
HYP>/>Tiny_TM_bacill	HYP|Tiny_TM_bacill
HYP<>tkt	HYP/tkt
HYP</>Tnp_1	HYP|Tnp_1
HYP>/>Tnp_21_1	HYP|Tnp_21_1
HYP</>Tnp_21_2	HYP|Tnp_21_2
HYP</>Tnp_256,RecT><RyeB	RecT/RyeB
HYP>>Tnp_427	HYP/Tnp_427
HYP<>Tnp_66	HYP/Tnp_66
HYP>/>Tnp_66	HYP|Tnp_66
HYP>>Tnp_T3p	HYP/Tnp_T3p
HYP>/<tnrA	HYP|tnrA
HYP>/>TP_methylase	HYP|TP_methylase
HYP>>traD	HYP/traD
HYP>>Transposase_20	HYP/Transposase_20
HYP</>tyrS	HYP|tyrS
HYP>/<U	HYP|U
HYP>/<UPF0236	HYP|UPF0236
HYP><V	HYP/V
HYP>/<V	HYP|V
HYP>>wrbA	HYP/wrbA
HYP</>ybhL	HYP|ybhL
HYP>/>yccA	HYP|yccA
HYP>>yheS	HYP/yheS
HYP>/>yheS	HYP|yheS
HYP><Y	HYP/Y
HYP>/>YibE_F	HYP|YibE_F
HYP>/>ykoV	HYP|ykoV
HYP</>ylaC	HYP|ylaC
HYP>/<yohD	HYP|yohD
HYP</>yphA	HYP|yphA
HYP</>yqjI	HYP|yqjI
HYP>/>ytbE	HYP|ytbE
HYP>/>yxdL	HYP|yxdL
HYP>/<zf-C2H2	HYP|zf-C2H2
HYP><Z	HYP/Z
HYP>/<Z	HYP|Z
icaR>/>HYP	icaR|HYP
icd>/>HYP	icd|HYP
icd,icd	icd
ihfA>/>btuC	ihfA|btuC
I>>HYP	I/HYP
ilvB>/>ydbD	ilvB|ydbD
IlvN</>SBF	IlvN|SBF
inlJ>/<topology_modulation_protein	inlJ|topology_modulation_protein
Integrase_1</>unknown	Integrase_1|CRISPR
Intron_gpII</>VIT1	Intron_gpII|VIT1
I><PhageIntegrase	I/PhageIntegrase
iphP>/>Peptidase_S51	iphP|Peptidase_S51
isdB>/<rpmF	isdB|rpmF
IstB_IS21>/>HYP	IstB_IS21|HYP
K>/>4HBT	K|4HBT
KfrA_N,HYP<>KfrA_N	KfrA_N
K>/>HTH_19	K|HTH_19
K>/>HTH_3	K|HTH_3
K>/>HYP	K|HYP
K,L	L
K>/>topology_modulation_protein	K|topology_modulation_protein
ktrA>/>c-di-GMP-I	ktrA|c-di-GMP-I
K_trans</>lutR	K_trans|lutR
Lactamase_B>>dacF	Lactamase_B/dacF
Lactamase_B>/>Usp	Lactamase_B|Usp
L>/>arcA	L|arcA
L>/>DUF368	L|DUF368
Leukocidin>/>MAP	Leukocidin|MAP
lexA>/>HTH_3,K><PhageIntegrase	K/PhageIntegrase
L>>HYP,HYP	L/HYP
L>>HYP	L/HYP
limB>>Bac_luciferase	limB/Bac_luciferase
livG>/>HYP	livG|HYP
L>>K	L/K
L><PhageIntegrase	L/PhageIntegrase
lptG>/>PhageIntegrase	lptG|PhageIntegrase
lpxD>/>metK	lpxD|metK
LRR_1>/>inlA	LRR_1|inlA
ltaS1</>rlmI	ltaS1|rlmI
L>/<Tnp_605	L|Tnp_605
ltrA>>Tnp_RVT_1	ltrA/Tnp_RVT_1
Lumazine_bd</>dppE	Lumazine_bd|dppE
LysR_substrate>/>PhageIntegrase,T	T
lysS>/>G	lysS|G
lytC</>ydbP	lytC|ydbP
maeB>/>rnaSA	maeB|rnaSA
Major_Facilitator_Superfamily_protein>/<cadC	Major_Facilitator_Superfamily_protein|cadC
MarR_2>/>YkuD	MarR_2|YkuD
MCM>>DUF2540	MCM/DUF2540
mcp4>>mcpS	mcp4/mcpS
mdh>/>soj	mdh|soj
mdtH>/>proA	mdtH|proA
merA</>ubiE	merA|ubiE
Metallophos_2</>Methyltransf_10	Metallophos_2|Methyltransf_10
metB>/>HYP	metB|HYP
Methylase_S>>hsdR	Methylase_S/hsdR
Methylase_S>>HYP	Methylase_S/HYP
Methylase_S><Methylase_S	Methylase_S/Methylase_S
Methyltransf_3><R	Methyltransf_3/R
metK>/>galP	metK|galP
metQ>/>glnP	metQ|glnP
MFS_1>>emrY	MFS_1/emrY
MFS_1>/<hmoB	MFS_1|hmoB
MgtC>>HYP	MgtC/HYP
minE>/>T	minE|T
mip>/>DUF2321	mip|DUF2321
mltD>/<ppiD	mltD|ppiD
mnmE>/>Acetyltransf_1	mnmE|Acetyltransf_1
mnmE>/>HYP	mnmE|HYP
mntH>>NTP_transf_2	mntH/NTP_transf_2
mntR</>mntS	mntR|mntS
moaC>>molybdenum_cofactor_biosynthesis_protein_MoaC	moaC/molybdenum_cofactor_biosynthesis_protein_MoaC
modA>>modB	modA/modB
Mo-nitro_C</>dnaX	Mo-nitro_C|dnaX
MOSC>/>lldR	MOSC|lldR
mprA>/>hsaD	mprA|hsaD
